date,Open,High,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE,Trades
3-1-22,2220.2,2259.55,2214.15,2215.75,2245.9,2251.35,2237.14,2589,1584.2,335699,751004613.45,11932
4-1-22,2258,2264.8,2216.5,2251.35,2224,2224.3,2231.22,2589,1584.2,363436,810905016.85,14498
5-1-22,2225,2246,2220.1,2224.3,2245,2241.3,2236.52,2589,1584.2,372959,834131219.25,15668
6-1-22,2230,2263.8,2202,2241.3,2229,2227.3,2237.76,2589,1584.2,470965,1053904645.25,25913
7-1-22,2234,2303.8,2232.05,2227.3,2290,2284.6,2276.31,2589,1584.2,573885,1306337481.45,29246
10-1-22,2297.15,2325,2278.55,2284.6,2323.5,2320.15,2304.66,2589,1584.2,358989,827348897.65,22976
11-1-22,2327,2344.55,2286.3,2320.15,2297,2297.6,2312.38,2589,1584.2,289218,668780573.5,20920
12-1-22,2310,2328.8,2273,2297.6,2317,2314.8,2306.25,2589,1584.2,380195,876823099.2,23864
13-1-22,2323,2325.45,2298.1,2314.8,2315.95,2314.15,2309.06,2589,1584.2,221162,510676383.95,18565
14-1-22,2319.9,2374,2304.75,2314.15,2353.05,2358.1,2355.03,2589,1584.2,676328,1592774618.9,40268
17-1-22,2364,2391,2301,2358.1,2374.8,2378.65,2348.59,2589,1584.2,490475,1151923214.85,30858
18-1-22,2391,2392.9,2240.35,2378.65,2249,2253.25,2298.61,2589,1584.2,691178,1588750237.7,51036
19-1-22,2261,2262.8,2219.2,2253.25,2237,2231.8,2234.61,2589,1584.2,372235,831800844.3,25659
20-1-22,2230,2285.25,2230,2231.8,2253.7,2254,2252.32,2589,1584.2,322553,726492012.8,22960
21-1-22,2240,2255.9,2196,2254,2221.65,2215.75,2231.66,2589,1584.2,238038,531220775.35,21215
24-1-22,2210,2219.65,2148.35,2215.75,2166,2167.45,2177.74,2589,1584.2,467114,1017250785.3,34602
25-1-22,2160.1,2192.6,2120.05,2167.45,2170.5,2179.95,2169.33,2589,1584.2,262179,568753943,22169
27-1-22,2156,2179,2127.65,2179.95,2171.05,2167.7,2157.94,2589,1584.2,298193,643481403.5,18014
28-1-22,2179.9,2238.55,2173.85,2167.7,2214.75,2215.95,2220.23,2589,1584.2,272371,604727562.05,21912
31-1-22,2230.4,2292.7,2227,2215.95,2280.9,2285.75,2273.18,2589,1584.2,428789,974713526.7,19066
1-2-22,2300.05,2355,2272.7,2285.75,2337.05,2332.55,2317.55,2589,1584.2,491690,1139515002.2,29691
2-2-22,2348.75,2350.05,2300,2332.55,2309,2306.55,2318.32,2589,1584.2,274847,637182150.5,17543
3-2-22,2308.9,2328,2286.25,2306.55,2293.15,2293.6,2303.04,2589,1584.2,253714,584312258.8,13054
4-2-22,2298.2,2322.45,2270,2293.6,2275,2274.75,2291.04,2589,1584.2,184813,423413828.95,16556
7-2-22,2282.7,2292.75,2239.25,2274.75,2279.85,2282.2,2270.05,2589,1686.05,201382,457147252,13911
8-2-22,2286,2310,2262.2,2282.2,2307,2304.75,2287.25,2589,1686.05,608392,1391544095.45,25086
9-2-22,2317.3,2338.8,2290.2,2304.75,2320,2310.3,2313.76,2589,1686.05,367725,850825745.6,19685
10-2-22,2280,2324.8,2265,2310.3,2298,2303.55,2302.25,2589,1686.05,876424,2017750851.85,47079
11-2-22,2290,2297,2240,2303.55,2245.3,2249.35,2265.86,2589,1686.05,359096,813661973.9,27438
14-2-22,2217.8,2220.15,2145,2249.35,2150.8,2153.9,2180.22,2589,1686.05,279841,610114593.15,20528
15-2-22,2156.5,2240,2156.5,2153.9,2236.5,2234.3,2195.69,2589,1686.05,259988,570852426.8,18337
16-2-22,2250,2266.25,2215.4,2234.3,2240,2239.4,2240.09,2589,1686.05,218682,489867611.05,14997
17-2-22,2240.4,2267.55,2215.75,2239.4,2231.05,2226.85,2234.69,2589,1686.05,218668,488655156.15,16693
18-2-22,2208.75,2220,2172,2226.85,2184.7,2181.15,2186.27,2589,1686.05,295149,645274796.55,14390
21-2-22,2178.7,2205.25,2151,2181.15,2182,2184.9,2186.8,2589,1686.05,291112,636604559.9,25810
22-2-22,2154.9,2180.8,2100.1,2184.9,2153.8,2165.4,2156.17,2589,1686.05,323721,697998656.65,27112
23-2-22,2169.05,2197,2143.7,2165.4,2148.2,2151.3,2165.68,2589,1686.05,376034,814369193.25,37479
24-2-22,2085.1,2120.65,2002,2151.3,2011,2014,2066.1,2589,1686.05,474202,979747864.3,42192
25-2-22,2045,2084.45,2030,2014,2067.7,2059.55,2061.38,2589,1686.05,286586,590762238.6,18856
28-2-22,2044,2095,2020.35,2059.55,2095,2089.15,2064.71,2589,1692,349612,721848784.4,23603
2-3-22,2073.8,2099.95,2043,2089.15,2057.45,2067.75,2067.28,2589,1692,494931,1023158888.45,31949
3-3-22,2088,2092.7,1950,2067.75,1963,1956,2009.1,2589,1692,728165,1462952709.75,41045
4-3-22,1940,2020,1926.2,1956,2004.75,2010.55,1966.47,2589,1692,801645,1576409061.75,45137
7-3-22,1972,1978,1900,2010.55,1947,1950.15,1939.15,2589,1692,536549,1040450490.2,32878
8-3-22,1940,1968.95,1902,1950.15,1964,1962.1,1940.55,2589,1692,330394,641144881.5,22564
9-3-22,1976,2015.9,1956.65,1962.1,2000,2000.85,1985.06,2589,1692,419651,833031737.55,23817
10-3-22,2050,2073.95,2001,2000.85,2046,2047.6,2047.33,2589,1692,315957,646869422.85,20003
11-3-22,2044.5,2061.85,2016,2047.6,2038.4,2041.9,2036.4,2589,1692,372130,757803999.35,21127
14-3-22,2054,2065,2025,2041.9,2059.75,2058.05,2048.87,2589,1692,184932,378901266.55,11615
15-3-22,2070,2109.7,2043.7,2058.05,2060.8,2060.35,2077.11,2589,1692,358798,745264453.6,23276
16-3-22,2088.35,2132.35,2066.5,2060.35,2127,2129.15,2104.82,2589,1692,395803,833093827.5,18771
17-3-22,2166,2166,2118,2129.15,2123.1,2122.65,2136.68,2589,1692,820627,1753415998.45,33007
21-3-22,2101,2141.75,2046.65,2122.65,2056.95,2055.75,2074.19,2589,1751.2,1043891,2165224743.9,32039
22-3-22,2054.95,2074.7,2025,2055.75,2062.45,2058.3,2048.8,2589,1751.2,452916,927933375.15,31723
23-3-22,2064.1,2086,2050,2058.3,2063.5,2069.75,2066.1,2589,1751.2,232620,480615332.45,15847
24-3-22,2050.15,2092.95,2050.15,2069.75,2080,2080.4,2079.32,2589,1751.2,294252,611843216.2,19226
25-3-22,2085,2090.9,2049.05,2080.4,2068,2064.2,2067.96,2589,1751.2,278510,575946538.8,16312
28-3-22,2081.35,2081.35,2039.05,2064.2,2061.95,2059.65,2055.51,2589,1782.25,231188,475208287.45,20954
29-3-22,2073,2135.3,2070.25,2059.65,2129,2128.55,2115.87,2589,1782.25,725118,1534258512.95,41912
30-3-22,2140,2172.7,2136,2128.55,2140.1,2150.9,2153.2,2589,1782.25,702919,1513522129,34079
31-3-22,2154.8,2170.3,2143.25,2150.9,2152.5,2151.35,2153.43,2589,1782.25,464111,999430691.65,26991
1-4-22,2148,2160,2128.35,2151.35,2150,2151,2144.96,2589,1782.25,838234,1797982460.2,28224
4-4-22,2110,2133,2102.05,2151,2122.7,2119.45,2117.37,2589,1782.25,655757,1388479215.6,26758
5-4-22,2134.8,2158,2112,2119.45,2146,2149.65,2141.03,2589,1782.25,615501,1317804173.65,20440
6-4-22,2149.65,2199,2124.6,2149.65,2142,2145.5,2165.07,2589,1782.25,1082516,2343728096.45,49556
7-4-22,2148,2180,2129.05,2145.5,2140,2136.7,2155.18,2589,1782.25,420470,906188259.55,25825
8-4-22,2148,2181,2128.55,2136.7,2172,2170.55,2151.68,2589,1782.25,861328,1853304776.45,31695
11-4-22,2175,2284.6,2163.65,2170.55,2236.7,2232.9,2231.05,2589,1782.25,1935494,4318177093.85,83006
12-4-22,2232.9,2233,2169.9,2232.9,2173,2181.4,2200.87,2589,1782.25,625499,1376641475.4,37065
13-4-22,2188,2244.65,2163.55,2181.4,2205.05,2208.65,2202.89,2589,1782.25,753209,1659234513.35,33824
18-4-22,2200,2248.9,2147.65,2208.65,2160.3,2155.2,2177.2,2589,1782.25,442194,962745996.55,30966
