date,Open,High,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
3-1-22,378.75,389.45,378.2,377.5,387,387,384.61,442.5,241.75,1643912,632257075.85,26185
4-1-22,387.55,391.7,383.3,387,390.25,390.45,389.15,442.5,241.75,3034913,1181040945.5,34257
5-1-22,389.95,394.65,388.75,390.45,393.2,393.7,392.57,442.5,241.75,1521048,597110984.35,22402
6-1-22,390.1,393,383.55,393.7,386.1,387.05,387.59,442.5,241.75,2579347,999719450.4,30633
7-1-22,387.05,401.95,387.05,387.05,396.55,397.25,395.66,442.5,241.75,2731750,1080856461.1,51449
10-1-22,400,401.95,397.3,397.25,399.45,399.35,399.53,442.5,241.75,2408661,962324959.2,26597
11-1-22,401,405,393.35,399.35,396.6,397.65,398.96,442.5,241.75,2105501,840006683.9,46022
12-1-22,398.25,402.7,395.65,397.65,397.8,397.9,398.26,442.5,241.75,1370663,545882635.25,38871
13-1-22,399,400.5,394.65,397.9,397.05,396.4,397.87,442.5,241.75,2490304,990810297.15,21598
14-1-22,395.1,405,394.2,396.4,402,402.7,401.99,442.5,241.75,2146874,863018846.55,32589
17-1-22,403.5,408.7,395,402.7,407.5,407.8,403.34,442.5,241.75,3057067,1233036126.1,55715
18-1-22,410,410,379,407.8,379.95,380.65,389.61,442.5,241.75,7265319,2830621739.15,105644
19-1-22,381.95,382,373.1,380.65,375,374.85,375.83,442.5,241.75,3999114,1502993898.45,64168
20-1-22,375.25,379.8,372.45,374.85,375.9,375.1,375.01,442.5,241.75,3354873,1258118805.9,42116
21-1-22,374.6,374.6,364.05,375.1,369.3,368.65,369.43,442.5,241.75,1426135,526850417.95,34327
24-1-22,368,371.2,349,368.65,351.95,352.85,354.94,442.5,241.75,4250468,1508675206.5,49829
25-1-22,351.95,356.5,343.45,352.85,352,351.5,351.36,442.5,241.75,3178488,1116790474.65,54549
27-1-22,350.9,354.3,340.45,351.5,351.9,351.65,348,442.5,241.75,2852549,992675054.95,48460
28-1-22,354.4,367.1,353,351.65,360.1,360.7,362.11,442.5,241.75,3157848,1143480439.05,43808
31-1-22,364.6,369.25,363,360.7,365,365.15,365.94,442.5,242.1,1955762,715696857.2,42556
1-2-22,370,382.85,366.5,365.15,382,380.4,375.02,442.5,242.1,6354846,2383213489.8,90754
2-2-22,383.7,386.3,377.85,380.4,380.05,380,382.51,442.5,242.1,3322525,1270911358.65,34793
3-2-22,377.3,384.3,377.3,380,381,381.9,382.46,442.5,242.1,3772405,1442798686.05,56782
4-2-22,383,384.9,378,381.9,379.25,380.4,382.58,442.5,242.1,5637748,2156909529.9,75719
7-2-22,380,383.9,374.2,380.4,382.55,382.65,379.68,442.5,263.15,2535377,962638406.4,65673
8-2-22,383,386.1,373.25,382.65,376.9,376.3,378.59,442.5,263.15,2089451,791053287.45,27285
9-2-22,379.35,385.9,376.85,376.3,383.5,382.8,382.27,442.5,263.15,2140597,818291408.8,33325
10-2-22,381.75,384.4,373.4,382.8,374.75,374.85,376.43,442.5,263.15,4638095,1745939542,63320
11-2-22,375,375.85,366.6,374.85,367.05,367.9,370.31,442.5,263.15,2050063,759156884.95,38304
14-2-22,362,365,354.05,367.9,355,355.1,359.41,442.5,263.15,1341336,482087122.35,28535
15-2-22,357,365,353.75,355.1,364.5,363.55,359.59,442.5,263.15,2027130,728925875,31512
16-2-22,365.1,367.85,359.5,363.55,360.65,360.7,364.37,442.5,263.15,1368175,498527820,23257
17-2-22,362.5,364.5,357.5,360.7,358.75,359.8,360.31,442.5,263.15,1439893,518806904.15,20810
18-2-22,352.7,354,337.2,359.8,338.5,338.35,342.56,442.5,263.15,11901556,4076988751.7,154766
21-2-22,334.2,341.3,331.25,338.35,339.2,338.55,337.01,442.5,263.15,5812598,1958905617.8,86922
22-2-22,334,338.45,331.1,338.55,337.3,337.35,335.32,442.5,263.15,3078034,1032119343.65,40636
23-2-22,338.9,340.5,329.6,337.35,330,330.95,334.17,442.5,263.15,5312647,1775335731.25,55919
24-2-22,316,322.35,302.05,330.95,307.35,306.95,311.99,442.5,263.15,12821969,4000318508.7,163333
25-2-22,311,315.95,306.1,306.95,309.65,308.7,311.31,442.5,263.15,5240212,1631328924.6,63117
28-2-22,306.3,315.95,302.95,308.7,315.45,314.25,310.51,442.5,273.5,7116898,2209898284,65609
2-3-22,312.8,314.85,301,314.25,305.1,304.15,305.76,442.5,273.5,6623505,2025199219.95,107228
3-3-22,308.6,311.1,287.9,304.15,290.3,290.2,295.61,442.5,273.5,11872107,3509527792.65,160570
4-3-22,285.2,296.2,283.7,290.2,292.15,292.6,289.93,442.5,273.5,6171233,1789254881.45,77412
7-3-22,287.95,289,278,292.6,280.6,281.2,282.51,442.5,274.05,6936569,1959620202.9,91238
8-3-22,281.05,284.55,274,281.2,282.8,282.9,279.72,442.5,274,6513565,1821946063.85,81596
9-3-22,285.8,292.65,281,282.9,292,291.65,286.75,442.5,274,7788795,2233441869.9,61891
10-3-22,300,302,291,291.65,293,293.2,296.11,442.5,274,5031572,1489923827.25,58994
11-3-22,293,296,290.3,293.2,292.95,293.45,292.42,442.5,274,4357253,1274143559.1,71240
14-3-22,294.65,297.5,289.05,293.45,291.6,291.2,291.61,442.5,274,2658414,775230698.85,30749
15-3-22,293.6,301.85,292.85,291.2,295,295.1,297.23,442.5,274,6826748,2029091642.6,78408
16-3-22,300,311.45,297,295.1,309.7,309.35,304.37,442.5,274,6876362,2092961009.5,87700
17-3-22,314.2,314.9,305.45,309.35,307.2,306.2,309.79,442.5,274,9901093,3067277577.45,67481
21-3-22,306,309.2,300,306.2,300.45,300.35,302.31,442.5,274,4583683,1385698598.1,60127
22-3-22,300.45,302.9,296.05,300.35,301,300.9,300.04,442.5,274,3537814,1061495473.5,43400
23-3-22,303,303.35,295.55,300.9,297.5,297.85,298.83,442.5,274,4697043,1403602214.8,54232
24-3-22,296.95,299.65,295,297.85,296.9,297.05,297.53,442.5,274,4048136,1204435590.75,36785
25-3-22,299.9,299.9,294.55,297.05,298.5,297.8,297.05,442.5,274,3115402,925441268.85,30166
28-3-22,299.4,299.4,288.5,297.8,292,291.8,291.7,442.5,274,4811353,1403448259.9,78064
29-3-22,293.05,303.25,293.05,291.8,303.25,302.45,300.47,442.5,274,8193664,2461971440.5,76624
30-3-22,300.8,304.8,298.8,302.45,303,303.05,302.63,442.5,274,6489029,1963749437.8,54768
