date,Open,High ,Low,PREV_CLOSE,LTP,Close,VWAP 52W_L,52W_H,52W_L,VOLUME ,VALUE ,Trades
3-1-22,1849.55,1892.6,1844.8,1847.9,1889.9,1881.85,1877.86,2548.4,1081,141011,264799369.75,8021
4-1-22,1888,1898.3,1860.55,1881.85,1880.05,1876.6,1878.23,2548.4,1081,84425,158569790.85,6299
5-1-22,1876.65,1940,1876.65,1876.6,1912,1911.05,1920.65,2548.4,1081,454090,872149883.2,17083
6-1-22,1909.9,1919.35,1877,1911.05,1890.5,1887.4,1896.12,2548.4,1081,157688,298995213.05,10995
7-1-22,1880,1950.45,1863,1887.4,1934.9,1931.35,1906.31,2548.4,1081,350551,668260285.05,18092
10-1-22,1955,1999,1935.65,1931.35,1990,1994.1,1970.98,2548.4,1081,312571,616069934.1,18725
11-1-22,2000,2029,1979.65,1994.1,1998,1999.45,2000.61,2548.4,1081,329006,658213311.7,23330
12-1-22,2008.9,2035,2003,1999.45,2025.35,2026.8,2019.01,2548.4,1081,121956,246229870.2,10914
13-1-22,2026.8,2038,1990.85,2026.8,2007.05,2004.85,2013.27,2548.4,1081,149076,300130542.55,15044
14-1-22,2004.5,2031,1983.95,2004.85,2009.95,2012.85,2007.57,2548.4,1081,81064,162741574.6,6217
17-1-22,2029,2104.15,2010,2012.85,2065,2066.7,2045.83,2548.4,1081,289553,592377088.85,19071
18-1-22,2082,2082,1969.95,2066.7,1983.35,1981.55,2016.91,2548.4,1081,118647,239300853.15,10078
19-1-22,1975,2008.95,1958,1981.55,1987.9,1983.65,1981.87,2548.4,1081,118696,235239758.4,10817
20-1-22,1978,2024.75,1978,1983.65,1986.1,1988.85,2003.1,2548.4,1081,81786,163825809.55,8143
21-1-22,1974,2003.95,1917.2,1988.85,1948,1951.7,1967.14,2548.4,1081,429037,843977761.9,25103
24-1-22,1940.6,1975.7,1823.55,1951.7,1870,1867.55,1864.18,2548.4,1115.5,235536,439080891.3,15005
25-1-22,1847,1855.15,1805.05,1867.55,1832.8,1834.85,1833.64,2548.4,1115.5,287522,527211045.8,28215
27-1-22,1834.85,1834.85,1666,1834.85,1710,1726.35,1754.7,2548.4,1115.5,399267,700595409.9,31249
28-1-22,1672.25,1838.25,1672.25,1726.35,1779.95,1784.7,1794.72,2548.4,1115.5,460321,826148265.7,37347
31-1-22,1789.9,1819.95,1757.05,1784.7,1769,1781.8,1787.86,2548.4,1135.6,275088,491819621.15,16794
1-2-22,1795,1940,1782.1,1781.8,1889,1902.7,1873.49,2548.4,1135.6,898614,1683541688.3,47323
2-2-22,1900.9,1933.8,1871.4,1902.7,1914.9,1919.55,1911.28,2548.4,1135.6,258631,494315156,20906
3-2-22,1914,1970.7,1906.4,1919.55,1961.9,1941.7,1935.16,2548.4,1135.6,442397,856107485.55,21374
4-2-22,1950,1960,1920.15,1941.7,1936.85,1940.2,1941.01,2548.4,1135.6,161686,313833856,12267
7-2-22,1940.2,1986.45,1922.6,1940.2,1983.1,1978.6,1960.46,2548.4,1245,259444,508628874.05,14998
8-2-22,1993.05,2015,1935,1978.6,1935.45,1939.95,1969.2,2548.4,1245,152058,299433306.55,11107
9-2-22,1948.7,1985.8,1935.45,1939.95,1971,1969.3,1960,2548.4,1245,195396,382975317.6,8346
10-2-22,1970.05,1976.05,1915,1969.3,1946.6,1948.15,1943.89,2548.4,1245,84587,164427646.6,5481
11-2-22,1930.4,1950.5,1876,1948.15,1894.65,1898.95,1902.79,2548.4,1245,153632,292330180.25,9042
