date,Open,High,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
3-1-22,3369,3540.95,3369,3398.85,3520,3523.1,3475.98,3838,1928,145293,505035188.25,14831
4-1-22,3520,3558,3490.45,3523.1,3514.7,3526.15,3532.81,3838,1928,182486,644689010,14048
5-1-22,3495,3575,3467.25,3526.15,3480,3484.6,3518.5,3838,1928,91175,320799438.45,11199
6-1-22,3494.95,3497.8,3379.1,3484.6,3454.6,3461.65,3462.75,3838,1928,90836,314542698.6,5360
7-1-22,3450,3562,3400.05,3461.65,3530,3533.9,3478.52,3838,1928,204104,709979725.65,13545
10-1-22,3513,3659.25,3513,3533.9,3558.9,3559.9,3599.54,3838,2041.35,126626,455795338.45,15588
11-1-22,3545,3581.95,3483,3559.9,3486,3489.9,3521.22,3838,2041.35,45920,161694358.8,5351
12-1-22,3510.3,3546.9,3425.45,3489.9,3498.3,3516.8,3482.86,3838,2041.35,65889,229481862.6,10844
13-1-22,3535.3,3563.75,3481,3516.8,3490,3489.4,3516.73,3838,2041.35,39614,139311863.2,5254
14-1-22,3485,3539.95,3465,3489.4,3465,3492.1,3500.84,3838,2041.35,49048,171709327.9,4980
17-1-22,3493,3646.45,3493,3492.1,3576,3600,3564.5,3838,2041.35,138787,494705681.1,14532
18-1-22,3599.95,3607.5,3430.5,3600,3458,3449.4,3508.84,3838,2041.35,63733,223629125.55,7767
19-1-22,3448,3492,3356.4,3449.4,3467.9,3438.4,3430.6,3838,2041.35,58320,200072609.6,6658
20-1-22,3407.1,3479,3407.1,3438.4,3452.6,3456.75,3450.91,3838,2041.35,30948,106798663.3,6142
21-1-22,3429,3456.7,3380,3456.75,3381,3397.9,3408.51,3838,2041.35,40339,137495796.45,6332
24-1-22,3417.65,3420,3241,3397.9,3281.95,3285.15,3319.58,3838,2041.35,106942,355002643.55,14717
25-1-22,3261,3392.65,3197.1,3285.15,3374.8,3370.9,3327.49,3838,2041.35,108446,360852501.95,15170
27-1-22,3360,3366,3200,3370.9,3229.4,3231.8,3289.96,3838,2041.35,71426,234988891.55,11555
28-1-22,3250,3359.95,3222.25,3231.8,3225.25,3251.45,3292.68,3838,2041.35,59782,196842783.2,9684
31-1-22,3282,3343.85,3256.4,3251.45,3303.95,3307.95,3308.58,3838,2090.1,70875,234495352.9,9869
1-2-22,3349.9,3381.8,3315.05,3307.95,3371,3358.85,3349.31,3838,2090.1,51408,172181542.65,10986
2-2-22,3387,3447.5,3102,3358.85,3417,3404.95,3410.17,3838,2090.1,70164,239271447.7,9714
3-2-22,3385,3421.6,3316.65,3404.95,3333.6,3348.55,3382.38,3838,2090.1,36291,122750082.95,6400
4-2-22,3346.95,3387.1,3318.25,3348.55,3345,3337.55,3358.37,3838,2090.1,38682,129908573.2,8066
7-2-22,3285.55,3379.95,3240.05,3337.55,3321.8,3329.8,3321.83,3838,2250.55,88072,292559995.4,14905
8-2-22,3348.95,3356.95,3258,3329.8,3308.9,3305.8,3307.44,3838,2250.55,41517,137314871.5,5931
9-2-22,3341.1,3341.1,3270.85,3305.8,3300,3298.45,3292.49,3838,2250.55,44152,145369913.5,6293
10-2-22,3310,3326.9,3275,3298.45,3285,3294.8,3299.53,3838,2250.55,30151,99484089.8,5286
11-2-22,3285,3294.15,3145.05,3294.8,3186,3196.35,3195.67,3838,2250.55,105629,337555483.25,12178
14-2-22,3159.85,3174.4,3040,3196.35,3070,3063,3080.73,3838,2570,135346,416965037.7,22636
15-2-22,3065,3200,3042.1,3063,3161.05,3149.8,3104.8,3838,2570,58961,183061903.05,7953
16-2-22,3190,3191.15,3017.05,3149.8,3099.85,3081.45,3095.66,3838,2570,99012,306507581.95,12138
17-2-22,3115.3,3115.3,3004.05,3081.45,3044,3043.85,3040.19,3838,2570,61450,186819922.9,8221
18-2-22,3043.85,3073.1,2940.25,3043.85,2960,2978,2995.86,3838,2570,92683,277665737.15,12474
21-2-22,2960,2960,2884.15,2978,2910,2911.1,2929.75,3838,2572.1,95794,280652112.5,16618
22-2-22,2839.8,2955,2804.15,2911.1,2907,2911.05,2892.63,3838,2572.1,98609,285239664.6,11508
23-2-22,2911,2964.35,2905.25,2911.05,2910.05,2913.15,2926.04,3838,2572.1,81287,237849144.35,9421
24-2-22,2885,2885,2755.25,2913.15,2791,2786.95,2795.32,3838,2572.1,178719,499577072.8,23685
25-2-22,2806,2999,2750,2786.95,2794,2793.1,2800.59,3838,2572.1,110031,308151800.05,17254
28-2-22,2810,2859.85,2711,2793.1,2830,2846.8,2802.24,3838,2621.55,73208,205146379.3,12305
2-3-22,2846.8,2860,2758,2846.8,2790,2779.9,2802.51,3838,2621.55,49707,139304184.5,6902
3-3-22,2818.8,2822.55,2643.05,2779.9,2700,2675.95,2699.51,3838,2621.55,129602,349861643.1,20571
4-3-22,2675.95,2734.6,2594.75,2675.95,2630,2639.65,2651.58,3838,2594.75,147050,389915211.3,17029
7-3-22,2580,2580,2305,2639.65,2341.2,2336.9,2390.62,3838,2305,446952,1068492783.45,38433
8-3-22,2365,2394.2,2165.55,2336.9,2175.25,2189.15,2227.64,3838,2165.55,688464,1533648046.85,70882
9-3-22,2217,2286.45,2139.05,2189.15,2257.65,2257.55,2204.87,3838,2139.05,789620,1741011055.4,60059
10-3-22,2345,2448.8,2269.8,2257.55,2276,2293.05,2375.65,3838,2139.05,583932,1387217935.6,41177
11-3-22,2298.4,2340.95,2275,2293.05,2292,2296.1,2296.36,3838,2139.05,253619,582400214.2,15646
14-3-22,2300,2324.4,2250.55,2296.1,2268,2276.7,2281.32,3838,2139.05,119807,273317669.1,9892
15-3-22,2287.8,2378.95,2273.35,2276.7,2308.9,2303.2,2332.73,3838,2139.05,351325,819545591.5,28710
16-3-22,2349,2510.45,2325,2303.2,2499,2486.4,2431.41,3838,2139.05,629933,1531625955.7,41878
17-3-22,2548,2554.55,2500.1,2486.4,2525,2515,2529.43,3838,2139.05,337392,853410078.75,24931
21-3-22,2543.5,2563.9,2435,2515,2450,2452.15,2480.87,3838,2139.05,269708,669110687.75,20474
22-3-22,2459.9,2459.9,2332.05,2452.15,2388,2382.9,2381.46,3838,2139.05,436710,1040009469.2,33145
23-3-22,2394.05,2413.85,2310,2382.9,2311.7,2328.4,2356.4,3838,2139.05,266411,627770839.35,20792
24-3-22,2325,2358.8,2290,2328.4,2312.1,2310.55,2313.94,3838,2139.05,150235,347634484.9,16556
25-3-22,2331.4,2340.25,2270,2310.55,2284,2280.95,2295.04,3838,2139.05,216333,496493660.15,16624
28-3-22,2289.95,2303,2191.95,2280.95,2259.9,2253,2234.64,3838,2139.05,270885,605331223.7,19921
29-3-22,2272.25,2403.95,2260.4,2253,2387,2372.7,2370.05,3838,2139.05,633903,1502384032.7,35339
30-3-22,2407.9,2454.45,2386.8,2372.7,2420,2428.65,2429.53,3838,2139.05,274394,666648667.05,16500
31-3-22,2430,2465.6,2417.35,2428.65,2427,2431.3,2438.1,3838,2139.05,168452,410702979.9,10831
1-4-22,2438,2544.45,2422.55,2431.3,2525.95,2532.5,2506.23,3838,2139.05,260626,653188509.65,17423
4-4-22,2511.25,2584.7,2508,2532.5,2555,2560.1,2538.57,3838,2139.05,133232,338218862.75,10803
5-4-22,2585.7,2741.2,2576.6,2560.1,2695,2706.45,2673.16,3838,2139.05,547079,1462428425.75,34951
6-4-22,2674.4,2772.7,2642.1,2706.45,2701,2709.3,2717.26,3838,2139.05,327519,889954871.35,24909
7-4-22,2674.4,2798,2674.4,2709.3,2750,2747.85,2750.16,3838,2139.05,283758,780381188.45,21062
8-4-22,2773.7,2828,2738.65,2747.85,2789,2797.9,2785.26,3838,2139.05,180649,503155076.7,13758
11-4-22,2806,2850,2769.9,2797.9,2776,2786.65,2809.13,3838,2139.05,269009,755680563.25,21520
12-4-22,2793,2793,2668.9,2786.65,2738.5,2753.9,2738.92,3838,2139.05,307699,842763629.7,24847
13-4-22,2760,2808.75,2751.9,2753.9,2787,2795.85,2785.38,3838,2139.05,167234,465809973.2,11290
18-4-22,2755.9,2778.8,2700,2795.85,2723.3,2726.45,2735.68,3838,2139.05,111693,305556609.45,11717
19-4-22,2750,2833.05,2674.65,2726.45,2694.9,2709.9,2778.64,3838,2139.05,152913,424889961.3,10764
20-4-22,2695,2771,2678.4,2709.9,2701.5,2692.8,2713.85,3838,2139.05,216459,587437564.95,16451
21-4-22,2707.8,2759.15,2703.75,2692.8,2719.8,2714.8,2730.74,3838,2139.05,138843,379144453.15,11916
22-4-22,2712,2735.9,2635.25,2714.8,2652.95,2648.05,2690.76,3838,2139.05,88485,238091755.15,7883
25-4-22,2644.95,2644.95,2492.05,2648.05,2574.75,2556.35,2560.45,3838,2139.05,181575,464913304.2,18406
26-4-22,2594.95,2660,2560.75,2556.35,2601.1,2601.9,2611.88,3838,2139.05,166725,435465786.45,15619
27-4-22,2601.9,2605.05,2551,2601.9,2574,2569.8,2576.76,3838,2139.05,79387,204561192.8,6542
28-4-22,2620,2685,2520.05,2569.8,2670,2650,2601.82,3838,2139.05,202687,527354821.2,12452
29-4-22,2687,2698.8,2627.1,2650,2645,2647.1,2649.58,3838,2139.05,114003,302060256.25,8328
2-5-22,2600,2647.15,2557.5,2647.1,2603.85,2588.55,2595.85,3838,2139.05,92319,239646331.25,9327
4-5-22,2619.05,2619.05,2447.1,2588.55,2499.8,2490.05,2513.91,3838,2139.05,111378,279993861.15,10152
5-5-22,2521.8,2590,2474,2490.05,2474,2488.35,2506.64,3838,2139.05,63025,157981119.25,8434
6-5-22,2445,2500,2390,2488.35,2441,2428.1,2462.01,3838,2139.05,123870,304969630.5,17761
9-5-22,2403,2420,2368.55,2428.1,2389,2388.9,2391.83,3838,2139.05,66291,158556781.2,6839
10-5-22,2387,2400.8,2322.85,2388.9,2334,2337.9,2362.03,3838,2139.05,82054,193813613.55,7641
11-5-22,2354.8,2360.85,2277.9,2337.9,2350,2340.85,2341.25,3838,2139.05,120652,282476985.25,11120
12-5-22,2340.85,2350,2280,2340.85,2333,2334.9,2310.49,3838,2139.05,50220,116032642.65,5787
