date,Open,High,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
3-1-22,1008.8,1028.8,1000,1004.1,1023.15,1026.75,1016.84,1132.7,766.05,140739,143108940.85,9324
4-1-22,1026.85,1030.75,1016.5,1026.75,1021.1,1024.4,1023.4,1132.7,766.05,302302,309376564.75,12461
5-1-22,1024.4,1045,1017,1024.4,1028,1029.35,1033.86,1132.7,766.05,437962,452792774.5,18522
6-1-22,1024.8,1028.45,983.05,1029.35,1003.5,1007.65,1009.21,1132.7,766.05,324837,327828605.55,13794
7-1-22,1003.55,1037.1,1003.55,1007.65,1029,1028.35,1020.42,1132.7,766.05,309655,315977750.25,12509
10-1-22,1034,1050,1022.9,1028.35,1047.75,1046.85,1037.57,1132.7,766.05,617919,641136148.95,16953
11-1-22,1050,1054.8,1013,1046.85,1023,1018.6,1025.57,1132.7,766.05,299205,306857036.2,12597
12-1-22,1022,1045.1,1000.1,1018.6,1045.1,1041.9,1034.79,1132.7,766.05,568486,588263495.8,21925
13-1-22,1046.9,1046.9,1015,1041.9,1020.5,1020.15,1024.23,1132.7,766.05,281708,288533502.75,13105
14-1-22,1021.95,1030.2,1005,1020.15,1006,1011.9,1017.66,1132.7,766.05,400151,407216659.8,20754
17-1-22,1010.85,1034.15,992,1011.9,1023.75,1021.6,1013.59,1132.7,766.05,524332,531457856.9,22805
18-1-22,1024.8,1030,965,1021.6,967.2,971.35,988.92,1132.7,766.05,455239,450194028.75,21880
19-1-22,968,979,960.05,971.35,962.95,962.65,968.34,1132.7,766.05,267647,259174116.15,12662
20-1-22,962,968.85,945.55,962.65,950,951.65,954.94,1132.7,766.05,200169,191148478.65,8590
21-1-22,952,954,932.75,951.65,937.15,940.4,942.39,1132.7,766.05,151847,143098924.3,7541
24-1-22,933,938.6,888,940.4,896.1,896.9,902.29,1132.7,766.05,570217,514499253.15,20804
25-1-22,857,877.5,825.3,896.9,856.75,860.8,852.76,1132.7,766.05,2679672,2285127486.15,98427
27-1-22,860,860,823.95,860.8,840.85,845.8,837.59,1132.7,766.05,482875,404451935.55,18651
28-1-22,852,871,847.1,845.8,850.9,851.05,858.98,1132.7,766.05,188079,161555232.3,10484
31-1-22,865,878,850.5,851.05,865,869.1,866.03,1132.7,768.3,322476,279273742.7,11952
1-2-22,880,903,869.35,869.1,897,895.5,889.08,1132.7,768.3,621426,552497467.55,25394
2-2-22,900,909.95,886.05,895.5,896,888.95,896.85,1132.7,768.3,182039,163262423.4,10576
3-2-22,888.95,894.9,869.55,888.95,871.4,873,880.6,1132.7,768.3,134348,118306997.75,7661
4-2-22,874.85,894.95,861,873,880.1,882.5,886.21,1132.7,768.3,271556,240656715.8,12351
7-2-22,882.5,888.1,863.05,882.5,877.85,876.1,874.87,1132.7,823.95,115045,100649786.8,7277
8-2-22,880.45,890,860,876.1,878.9,877.35,877.46,1132.7,823.95,210219,184458050.05,7772
9-2-22,880,897.2,878.15,877.35,892.1,890.1,887.55,1132.7,823.95,218765,194164588,19121
10-2-22,890.2,898.2,885.95,890.1,890,890.45,891.97,1132.7,823.95,168295,150113513.8,10901
11-2-22,885,886.9,868.25,890.45,869.75,872.9,876.22,1132.7,823.95,107865,94513202.8,5650
14-2-22,855,862.35,833.05,872.9,836,836.5,848.32,1132.7,823.95,155690,132074199.65,9252
15-2-22,840,888,827,836.5,872.1,881.25,858.45,1132.7,823.95,393474,337777760.3,12783
16-2-22,881,882.3,855.1,881.25,860.1,861.35,865.55,1132.7,823.95,662795,573679337.1,18675
17-2-22,865.9,868,851.4,861.35,862,859.65,859.83,1132.7,823.95,261514,224858800.4,11220
18-2-22,854,857.4,834.1,859.65,836.5,836.7,846.19,1132.7,823.95,167278,141548578,7963
21-2-22,835.85,839.2,805.4,836.7,824.8,823.95,824.99,1132.7,805.4,912848,753093125.85,32694
22-2-22,801,825,799,823.95,818.55,822.65,815.18,1132.7,799,215417,175603450.3,9178
23-2-22,825.85,838.75,804.15,822.65,805,811.35,822.22,1132.7,799,455560,374569901.75,16701
24-2-22,794,794.75,763,811.35,779,769.3,779.97,1132.7,763,358361,279509531.25,17387
25-2-22,777.75,803.75,766.25,769.3,777,778.05,778.97,1132.7,763,762131,593679464.95,19479
28-2-22,775,789.55,752.05,778.05,788.4,786.9,780.5,1132.7,752.05,399937,312151508.45,12105
2-3-22,779.7,788.2,768.4,786.9,784,776.4,776.36,1132.7,752.05,282992,219704336.2,14529
3-3-22,784.75,788,725.2,776.4,732,730.25,749.45,1132.7,725.2,458080,343307168,16061
4-3-22,722.95,756.7,706.05,730.25,729,733.6,725.3,1132.7,706.05,1297719,941230955,39316
7-3-22,719.8,720.9,692.2,733.6,697.2,699.3,708.95,1132.7,692.2,882093,625356993.9,20781
8-3-22,699.5,712.9,690.45,699.3,711.45,710.15,705.56,1132.7,690.45,397196,280244117.6,9669
9-3-22,715.6,729.9,710,710.15,728.3,726.55,721.02,1132.7,690.45,202346,145895666.7,8060
10-3-22,748.55,752,725.55,726.55,734,732.8,738.83,1132.7,690.45,417203,308243340.3,10831
11-3-22,735,742.7,722,732.8,734.05,737.15,731.42,1132.7,690.45,308683,225776352.4,12173
14-3-22,739.85,742.55,722,737.15,730.4,726.85,727.47,1132.7,690.45,255478,185852919.15,6930
15-3-22,732,741.75,720,726.85,726.95,725.9,734.35,1132.7,690.45,282435,207406186.65,9381
16-3-22,731.5,754,730.9,725.9,749.2,749.85,743.26,1132.7,690.45,915408,680385574.75,13778
17-3-22,760,775.2,752.1,749.85,759,759.2,763.2,1132.7,690.45,1360031,1037982015.75,32409
21-3-22,760,760,730.7,759.2,742,742,744.32,1132.7,690.45,649408,483364723.05,14272
22-3-22,735,750.2,720.85,742,739,739.05,734.34,1132.7,690.45,686338,504003849.75,22232
23-3-22,746.6,746.6,725.2,739.05,728.65,730.4,736.06,1132.7,690.45,270946,199433383.05,15430
24-3-22,725.35,733.95,721.65,730.4,728,729.55,728.44,1132.7,690.45,332492,242199512.7,10548
25-3-22,730,732,720,729.55,729.8,727.9,726.89,1132.7,690.45,573023,416524830.45,11711
28-3-22,730.9,732,714,727.9,730,728.5,723.73,1132.7,690.45,362172,262112970.75,13556
29-3-22,729.95,753.6,726,728.5,733,739.7,740.32,1132.7,690.45,723009,535255953.1,21932
30-3-22,744,776,739.75,739.7,770,772.05,764.3,1132.7,690.45,1220301,932670081.55,25373
31-3-22,778,779.1,750.4,772.05,771,768.05,763.95,1132.7,690.45,1163434,888800069.05,33020
1-4-22,771.7,775,761.5,768.05,774.4,773.45,771.82,1132.7,690.45,416555,321505706.9,16219
4-4-22,775.05,790,775,773.45,784,786.55,784.26,1132.7,690.45,285739,224093973.15,9756
5-4-22,792.8,809.4,780.8,786.55,801.5,802.15,798.49,1132.7,690.45,473253,377887887.75,17413
6-4-22,800,815,794.15,802.15,808.4,805.95,805.95,1132.7,690.45,376680,303585731.55,15601
7-4-22,810,812.85,800,805.95,808,809.85,808.64,1132.7,690.45,377819,305520653.25,10303
8-4-22,812.5,816.15,804.05,809.85,812.95,812.35,811.23,1132.7,690.45,243478,197516779.9,10233
11-4-22,815.25,823.8,806.5,812.35,815.75,815.1,815.94,1132.7,690.45,465920,380163491,14995
12-4-22,814,814,791,815.1,796.4,799.75,799.82,1132.7,690.45,466652,373237086.6,13158
13-4-22,800,817,793,799.75,808.25,812.05,807.08,1132.7,690.45,508329,410259880.95,20900
18-4-22,812.05,812.35,791.35,812.05,802,804.1,803.15,1132.7,690.45,393444,315996190.95,9766
19-4-22,805,808,771.05,804.1,777,787.55,795.61,1132.7,690.45,529198,421035945.8,15346
20-4-22,787.3,811,777.6,787.55,805,805.4,802.37,1132.7,690.45,436204,349997377.5,13516
21-4-22,809.4,814.3,804.35,805.4,810.75,808.95,809.37,1132.7,690.45,543587,439963272.25,9264
22-4-22,807,814,796.75,808.95,810.55,810.45,809.53,1132.7,690.45,237013,191869197.1,6003
25-4-22,807,807,792.2,810.45,805.05,804.9,801.52,1132.7,690.45,273141,218926923.15,6955
26-4-22,810,812,790.9,804.9,792.5,793.7,797.92,1132.7,690.45,510000,406939857.5,19094
27-4-22,788.8,789.15,763.05,793.7,779,779.35,774.04,1132.7,690.45,604547,467945172.25,17947
28-4-22,786,796.2,777.55,779.35,793,793.45,787.86,1132.7,690.45,150881,118872722.05,5002
29-4-22,808,808,783.55,793.45,796.6,794.7,794.07,1132.7,690.45,755297,599757185.6,18693
2-5-22,792.95,793.25,774.3,794.7,784.05,787.05,782.5,1132.7,690.45,202478,158438027.6,6632
4-5-22,790.05,790.05,742.2,787.05,754.4,751.8,760.03,1132.7,690.45,650056,494061011.25,14104
5-5-22,755.55,759.35,734.05,751.8,740,740.1,746.18,1132.7,690.45,419549,313058690.55,9830
6-5-22,734,734,715.3,740.1,725,724.1,723.16,1132.7,690.45,356993,258164354.9,16402
9-5-22,715,727.5,706.3,724.1,720,721.7,716.95,1132.7,690.45,235356,168737908.15,6657
10-5-22,721.8,732.45,701.1,721.7,714.5,721.8,724.32,1132.7,690.45,511873,370759274.2,14896
11-5-22,723,723.3,697.45,721.8,707.1,705.55,707.62,1132.7,690.45,527096,372983462.05,16059
12-5-22,700.5,709.95,685.1,705.55,704,703.25,696.74,1132.7,685.1,502039,349791725.6,11785
13-5-22,709.9,709.9,681,703.25,683.95,684.1,692.7,1132.7,681,493443,341807653,15167
16-5-22,680.1,698.45,671.05,684.1,688.05,690.15,689.36,1132.7,671.05,210654,145215986.65,8238
17-5-22,693.6,700.5,684,690.15,695.1,698.65,692.31,1132.7,671.05,188548,130533034.3,5410
18-5-22,700.5,707.05,688,698.65,701.05,700.95,697.68,1132.7,671.05,447972,312540418.7,12295
19-5-22,680.5,693,680.25,700.95,685.8,689.1,686.15,1132.7,671.05,361767,248227143.1,8442
20-5-22,692.1,697.5,685.1,689.1,692.9,691.7,692.36,1132.7,671.05,368717,255285952.7,7934
23-5-22,697,700,672.35,691.7,678.5,679.5,686.01,1132.7,671.05,362966,248997507.75,7800
24-5-22,661,679.15,651.75,679.5,657.85,659.25,663.85,1132.7,651.75,1245375,826736504.75,29563
25-5-22,660,665.55,638,659.25,641.4,639.65,645.99,1132.7,638,460710,297616319.7,10053
26-5-22,644.5,670,633,639.65,662.05,666,652.69,1132.7,633,405647,264761590.35,9674
27-5-22,670.9,678.45,661.5,666,676,674.95,671.24,1132.7,633,330356,221747165.1,7461
30-5-22,679.2,698,677.95,674.95,687.2,686.65,690.61,1132.7,633,273302,188743737.3,4739
31-5-22,687.6,702.15,687.4,686.65,700,698.75,696.89,1132.7,633,452311,315209349.75,8666
1-6-22,700.8,708.9,688.75,698.75,690.2,692.4,696.97,1132.7,633,434116,302564153.65,10988
2-6-22,695.9,698.15,678,692.4,690.7,695.15,688.08,1132.7,633,259796,178759278.15,10309
3-6-22,696.4,696.5,627,695.15,631.85,630.8,650.16,1132.7,627,2542587,1653093189.6,59561
6-6-22,633.6,638.55,628,630.8,632.9,632.45,632.8,1132.7,627,697724,441517289.6,21314
