date,Open,HIgh,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
3-1-22,27000,27349.85,26890,26987.45,27265,27247.4,27123.12,32048,22531,19537,529904463.5,6494
4-1-22,27247.4,27335.55,26658.5,27247.4,26950,26954.1,26920.63,32048,22531,26215,705724438.8,11005
5-1-22,26902,27300,26850.2,26954.1,27154.5,27214.65,27150.48,32048,22531,17262,468671610.55,6519
6-1-22,27000,27167.1,26250.65,27214.65,26509,26528.05,26600.64,32048,22531,25411,675948843.35,8952
7-1-22,26658.65,27266.25,26572.55,26528.05,27029.9,27046.25,26928.17,32048,22531,32658,879420186.5,10250
10-1-22,27000,27236.95,26820.05,27046.25,27000.5,26945.05,26946.37,32048,22531,21424,577298951.9,8398
11-1-22,27000.5,27220,26800,26945.05,26998.2,27038.55,27051.78,32048,22531,26722,722877549,9332
12-1-22,27120,27283.7,26583,27038.55,26750,26715.5,26772.62,32048,22531,41881,1121264207.8,14710
13-1-22,26888,26950,26360,26715.5,26874.9,26855.3,26641.82,32048,22531,32020,853070987.95,10988
14-1-22,26830,27150,26577.25,26855.3,27000,27078.45,26982.09,32048,22531,24063,649270042.9,7891
17-1-22,27005,27936.75,26654.5,27078.45,27493.8,27545.35,27264.28,32048,22531,47661,1299442720.65,14796
18-1-22,27550,27639.65,26850,27545.35,26900,27155.55,27296.85,32048,22531,44022,1201662032.7,12225
19-1-22,26950.5,27099.5,26350,27155.55,26395,26402.25,26509.56,32048,22531,48367,1282187764.2,15732
20-1-22,26578.8,26713,25954.9,26402.25,26040,26072.35,26207.39,32048,22531,40050,1049605989.9,15841
21-1-22,25885,25885,24811.55,26072.35,24900,25037.2,25107.45,32048,22531,133581,3353878226.75,26715
24-1-22,25182.6,25289.95,24072.6,25037.2,24359.55,24320.9,24515.99,32048,22531,50537,1238964702.2,14966
25-1-22,24100,24671.95,23500.05,24320.9,24495.45,24497.5,24344.83,32048,22531,43208,1051891337.15,17421
27-1-22,24390,24390,23752.15,24497.5,24000,23961.8,23973.6,32048,22531,38764,929312656.15,13007
28-1-22,23943.9,24597.8,23943.9,23961.8,24050,24124.7,24279.34,32048,22531,24109,585350563.3,10651
31-1-22,24550,24550,24210.6,24124.7,24239.8,24267.1,24345.03,32048,22711.95,19599,477138171.9,7201
1-2-22,24590,25635,24340.05,24267.1,25595,25489.65,25128.32,32048,22711.95,78151,1963803440.35,22608
2-2-22,25590,25884.6,25160,25489.65,25275,25265.45,25376.17,32048,22711.95,25400,644554737.15,10384
3-2-22,25280,25399.95,24712.05,25265.45,24770,24800.9,24977.97,32048,22711.95,21469,536251936.35,9800
4-2-22,24805,25224,24625,24800.9,24710,24724.05,24932.88,32048,22711.95,34121,850734833.55,12490
7-2-22,24489,25125,24300,24724.05,24879.95,24865.55,24746.34,32048,23500.05,39058,966542610.25,14786
8-2-22,24920,25029.75,24507.05,24865.55,24748,24764,24770.71,32048,23500.05,29111,721100125.9,13995
9-2-22,24925,25599,24677.85,24764,25580,25466.15,25270.87,32048,23500.05,32205,813848244.6,12185
10-2-22,25467,25559.9,25183.15,25466.15,25238,25247.4,25325.19,32048,23500.05,19294,488624268.05,11103
11-2-22,24900,25174.55,24680.05,25247.4,24865.75,24900.3,24851.21,32048,23500.05,19479,484076667.25,8300
14-2-22,24550,24630,23511,24900.3,23515,23589.2,23950.75,32048,23500.05,35182,842635156.1,13384
15-2-22,23605,24972.85,23589.2,23589.2,24839,24909.2,24493.14,32048,23500.05,53569,1312072986.95,18079
16-2-22,24931.5,25184.6,24565.7,24909.2,24822.7,24916.35,24877.27,32048,23500.05,35980,895084251.65,10912
17-2-22,25189.75,25189.75,24579.25,24916.35,24660,24723.85,24849.44,32048,23500.05,30441,756441798.6,9894
18-2-22,24590,24740,24110.1,24723.85,24417,24349.55,24366.6,32048,23500.05,36614,892158847.6,12519
