date,Open,HIgh,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
3-1-22,7600,7750,7570.05,7591.05,7712,7723.9,7652.56,8269,5245.05,250533,1917219754.9,25449
4-1-22,7749,7772.85,7611.7,7723.9,7653,7650.35,7664.76,8269,5245.05,315188,2415840501.5,39784
5-1-22,7650.5,7769,7595,7650.35,7649.25,7659.55,7658.14,8269,5245.05,400874,3069947506.25,48598
6-1-22,7639.55,7699.95,7425.05,7659.55,7455,7458.55,7521.42,8269,5245.05,403448,3034503448.7,61501
7-1-22,7465.1,7580,7439.05,7458.55,7546.15,7557.95,7515.17,8269,5245.05,543512,4084582972.55,53218
10-1-22,7590,7617.6,7522.3,7557.95,7580.45,7585.15,7566.06,8269,5260,213126,1612524473.45,28702
11-1-22,7609.7,7679.4,7561.2,7585.15,7608.75,7606.3,7615.03,8269,5260,234296,1784172174.2,36514
12-1-22,7663.8,7729,7609.9,7606.3,7649.15,7658.7,7665.27,8269,5260,297378,2279481183.1,36939
13-1-22,7681,7719.6,7553.85,7658.7,7609.95,7606.8,7635.09,8269,5260,274893,2098831907.5,39641
14-1-22,7634,7700,7566.9,7606.8,7640,7660.55,7643.07,8269,5260,250253,1912700308.3,37985
17-1-22,7635,7946,7500.1,7660.55,7870,7870.1,7751.5,8269,5260,1216949,9433179841.15,117828
18-1-22,7807,7894,7520,7870.1,7570,7555.9,7672.27,8269,5260,565178,4336198635.55,69630
19-1-22,7599.9,7599.9,7353,7555.9,7456.75,7434.4,7423.45,8269,5260,439305,3261158359.3,75279
20-1-22,7470,7559.55,7395,7434.4,7478,7465.5,7482.37,8269,5260,249483,1866725011.55,42518
21-1-22,7430,7454.65,7311,7465.5,7359,7357.65,7382.53,8269,5260,207851,1534466672.8,32482
24-1-22,7360,7365,7088.65,7357.65,7125,7156,7188.83,8269,5260,319304,2295422331.55,53806
25-1-22,7120,7153.9,7000,7156,7081,7098.35,7095.79,8269,5260,467078,3314288190.95,69699
27-1-22,7140,7150.3,6950,7098.35,7109.95,7100.7,7056.37,8269,5260,418032,2949786647.6,59588
28-1-22,7120.9,7266.4,7094,7100.7,7097,7109.85,7167.58,8269,5260,511605,3666969531.1,61133
31-1-22,7188.9,7279.55,7167.6,7109.85,7218,7216.4,7230.27,8269,5260,250406,1810503556.3,32114
1-2-22,7263.2,7535.5,7235.2,7216.4,7535,7516.25,7410.3,8269,5260,731348,5419504919.65,77051
2-2-22,7572.7,7575,7425,7516.25,7440,7441,7477.07,8269,5260,324627,2427258817.45,38616
3-2-22,7461,7485,7351,7441,7354,7375.35,7428.4,8269,5260,167162,1241745585.55,30730
4-2-22,7389,7529.9,7380.15,7375.35,7425,7439.65,7463.29,8269,5260,462491,3451706105.55,46366
7-2-22,7439.65,7518.95,7362.5,7439.65,7475.95,7469.35,7454.56,8269,5970.2,391483,2918333085.55,37806
8-2-22,7475.95,7499,7355.8,7469.35,7402.25,7421.35,7417.43,8269,5970.2,270604,2007185545.4,36730
9-2-22,7436,7547.9,7421.45,7421.35,7507,7504.05,7505.15,8269,5970.2,253643,1903627540.15,31572
10-2-22,7514.7,7548.95,7460.3,7504.05,7469,7474.5,7502.03,8269,5970.2,284223,2132248596.25,44290
11-2-22,7460.1,7460.1,7294.1,7474.5,7310.1,7323.6,7342.57,8269,5970.2,265177,1947080109.25,35444
14-2-22,7242.5,7242.5,7050,7323.6,7079.95,7089.1,7120.72,8269,5970.2,266661,1898817642.9,43063
15-2-22,7100,7318.45,7031.05,7089.1,7285.7,7290.3,7182.97,8269,5970.2,255775,1837224975.6,42627
16-2-22,7285,7320,7166.95,7290.3,7180.7,7178.9,7221.67,8269,5970.2,322839,2331435818.4,33941
17-2-22,7145,7225,7030,7178.9,7039.9,7045.95,7095.01,8269,5970.2,499955,3547187575.55,58621
18-2-22,7049,7064.85,6900,7045.95,6903,6916.6,6958.21,8269,5970.2,510600,3552864215.4,80714
21-2-22,6900,6912.55,6791,6916.6,6810,6813.45,6845.73,8269,5970.2,424346,2904956177.4,53300
22-2-22,6713,6770,6676.15,6813.45,6762,6749.55,6722.55,8269,5970.2,359236,2414983193.8,57055
23-2-22,6780,6866,6735,6749.55,6777,6780.2,6797.03,8269,5970.2,506540,3442967258.7,64082
24-2-22,6624.9,6649.15,6396.2,6780.2,6402,6418.45,6545.44,8269,5970.2,610393,3995289364.5,84655
25-2-22,6550,6656.65,6520,6418.45,6560,6570.25,6583.16,8269,5970.2,376464,2478321236.05,51046
28-2-22,6538,6602,6440.15,6570.25,6570,6567.9,6560.96,8269,5970.2,557289,3656351350.15,55003
2-3-22,6539,6539,6342,6567.9,6414.95,6399.35,6401.57,8269,5970.2,686927,4397408879.35,108727
3-3-22,6416,6437.15,5964.85,6399.35,5970,5980.7,6145.2,8269,5964.85,2406110,14786028648.05,209691
4-3-22,5949.75,6170,5850.8,5980.7,6041.9,6050.3,6004.28,8269,5850.8,1336552,8025037810.4,134801
7-3-22,5929.3,5929.3,5684.65,6050.3,5689.9,5698.1,5755.44,8269,5684.65,1280108,7367579213.4,143200
8-3-22,5631,5875,5629.2,5698.1,5839,5833.45,5739.79,8269,5629.2,955847,5486364517.3,112360
9-3-22,5890,6058.75,5821.2,5833.45,6025,6017.35,5949.66,8269,5629.2,813790,4841771457.55,83641
10-3-22,6202,6261.2,6004.55,6017.35,6038,6052.55,6145.33,8269,5629.2,967482,5945491587.85,124903
11-3-22,6043,6119.95,5980,6052.55,6020,6021,6039.22,8269,5629.2,533023,3219044987.85,48219
14-3-22,6050,6067.9,5956.05,6021,6052,6035.9,6022.66,8269,5629.2,466938,2812211093.1,38952
15-3-22,6095.85,6172,5972.05,6035.9,6016,6021.25,6102.4,8269,5629.2,819263,4999467662.45,74279
16-3-22,6130,6317.2,6080,6021.25,6300,6305.9,6214.45,8269,5629.2,888929,5524207633.35,79005
17-3-22,6380.35,6469.5,6340,6305.9,6378,6373.6,6420.04,8269,5629.2,979987,6291554228.9,81715
21-3-22,6370,6370,6176.05,6373.6,6188.8,6191.25,6263.26,8269,5629.2,531422,3328434069.2,54702
22-3-22,6160,6225.85,6059.1,6191.25,6220,6211.6,6140.07,8269,5629.2,1073804,6593229641.2,70235
23-3-22,6312.5,6312.5,6195.05,6211.6,6220,6234,6247.05,8269,5629.2,664235,4149508093.75,56102
24-3-22,6202,6379.55,6200,6234,6344.4,6351.85,6318.87,8269,5629.2,642226,4058145225.75,49036
25-3-22,6385,6390.65,6284.05,6351.85,6319,6312.7,6339.43,8269,5629.2,321023,2035103103.6,30055
28-3-22,6345,6394.95,6245.05,6312.7,6357.3,6359.95,6326.38,8269,5629.2,325668,2060298211.6,35671
29-3-22,6377,6548,6376,6359.95,6532.9,6526.6,6506.23,8269,5629.2,671879,4371399458.6,76222
30-3-22,6542.5,6668.8,6542.5,6526.6,6640,6642.7,6632.73,8269,5629.2,705385,4678625332.9,59800
31-3-22,6660,6699,6581,6642.7,6601,6602.3,6625.43,8269,5629.2,399272,2645348373.9,50637
1-4-22,6603,6688.85,6565.05,6602.3,6656.05,6670.55,6631.6,8269,5629.2,216837,1437975615.75,28437
4-4-22,6632,6758.45,6622,6670.55,6729.95,6743.9,6708.85,8269,5629.2,268314,1800078302.4,29146
5-4-22,6770,6816,6680.05,6743.9,6712,6726.15,6740.49,8269,5629.2,412049,2777410334.3,44721
6-4-22,6700,6792,6690,6726.15,6728.8,6736.15,6744.43,8269,5629.2,297453,2006149596.85,34549
7-4-22,6696,6796.5,6696,6736.15,6722.7,6736.65,6749.63,8269,5629.2,234000,1579413209.8,40853
8-4-22,6799,6850,6722.85,6736.65,6835,6837,6806.67,8269,5629.2,309692,2107971571.55,29731
11-4-22,6834.65,6918.5,6800,6837,6850,6858.75,6867.81,8269,5629.2,359038,2465803131.7,40488
12-4-22,6850,6858.75,6721.8,6858.75,6758,6775.55,6774.21,8269,5629.2,385829,2613686628.25,48170
13-4-22,6750,6840,6694.2,6775.55,6714,6730.05,6742.16,8269,5629.2,386535,2606081175.05,45591
18-4-22,6645.5,6689.9,6570.05,6730.05,6634.5,6639.6,6641.73,8269,5629.2,240392,1596619780.8,35863
19-4-22,6700,6764.25,6506.05,6639.6,6526.95,6585.7,6673.53,8269,5629.2,353426,2358598536.55,41112
20-4-22,6587,6827.75,6585.7,6585.7,6800,6807.15,6750.86,8269,5629.2,328054,2214645942.5,39817
21-4-22,6830,6887,6808,6807.15,6828,6846.5,6852.76,8269,5629.2,181457,1243480882.35,21377
22-4-22,6800,6809.95,6710.1,6846.5,6740.95,6744.1,6761,8269,5629.2,237385,1604959756,23937
25-4-22,6694,6713.05,6556.65,6744.1,6596.95,6595.05,6625.98,8269,5629.2,227496,1507385000.7,26462
26-4-22,6680,6694.2,6615,6595.05,6650,6660.2,6653.96,8269,5629.2,279555,1860148012.55,30369
27-4-22,6575,6629.85,6536.05,6660.2,6544.9,6548.45,6563.49,8269,5629.2,327597,2150179550.8,46040
28-4-22,6598,6635,6551.05,6548.45,6607.65,6616.95,6596.67,8269,5629.2,243308,1605021830.65,23744
29-4-22,6617.4,6797,6520.2,6616.95,6615,6630.25,6656.33,8269,5629.2,1139560,7585287420.45,90258
2-5-22,6607.6,6730,6542.9,6630.25,6671.95,6679,6657.34,8269,5629.2,329548,2193912105.3,41792
4-5-22,6679,6708.6,6501,6679,6520,6521.95,6603.61,8269,5629.2,228457,1508640249.2,45984
5-5-22,6560,6595.9,6340,6521.95,6352,6355.7,6449.67,8269,5629.2,344367,2221055054.15,42220
6-5-22,6300,6300,6160,6355.7,6194,6200.2,6212.61,8269,5629.2,499910,3105746563.95,69265
9-5-22,6175,6274.9,6115,6200.2,6235,6224.6,6199.42,8269,5629.2,355285,2202562288.15,41529
10-5-22,6210.85,6423.45,6200.55,6224.6,6368,6366.45,6367.8,8269,5629.2,359456,2288945684.9,54109
11-5-22,6369.95,6436.5,6209.95,6366.45,6350.45,6340.2,6322.62,8269,5629.2,217452,1374866845.65,40240
12-5-22,6300,6300,6077.6,6340.2,6211,6185.45,6155.18,8269,5629.2,323730,1992617481.8,56709
13-5-22,6268.4,6292.8,6142.8,6185.45,6192.9,6196.55,6212.7,8269,5629.2,319217,1983198645.6,48252
16-5-22,6194.7,6194.7,5821,6196.55,6010,6012.8,6044.19,8269,5629.2,685657,4144239229.6,78204
17-5-22,6012.8,6125.85,5980.4,6012.8,6095,6107.75,6042.05,8269,5629.2,637179,3849865430.7,62913
18-5-22,6164,6279,6130.05,6107.75,6232,6233.75,6210.39,8269,5629.2,371945,2309922198.3,46318
19-5-22,6129,6176.4,6050,6233.75,6085,6072.6,6114.14,8269,5629.2,259111,1584240621.8,34448
20-5-22,6165,6165,6064.2,6072.6,6129.65,6128.65,6121.69,8269,5629.2,374540,2292819366.85,35403
23-5-22,6174,6224,5900,6128.65,5922,5916.3,6050.61,8269,5629.2,528566,3198147164.1,59940
24-5-22,5947.95,5957.6,5833.65,5916.3,5870.5,5868.05,5866.11,8269,5629.2,458962,2692321694,53652
25-5-22,5894,5979,5778.25,5868.05,5801.9,5792.2,5880.11,8269,5629.2,571568,3360884406.95,56280
26-5-22,5821,5917,5706.75,5792.2,5845.05,5874.25,5798.98,8269,5629.2,512954,2974609005.35,59979
27-5-22,5905,5976.5,5886.05,5874.25,5955,5948,5924.19,8269,5629.2,290626,1721722202.65,25772
30-5-22,6000,6156.75,5965.55,5948,6110,6102.65,6096.73,8269,5629.2,330562,2015348023.25,33412
31-5-22,6110,6140,6045.05,6102.65,6085,6082.6,6083.99,8269,5629.2,431470,2625057400.3,37986
1-6-22,6080,6099.7,5950,6082.6,5982,5975.65,6009.55,8269,5629.2,268629,1614340518.05,28930
2-6-22,5966,6023.95,5906,5975.65,6000.1,6007.85,5961.18,8269,5629.2,320094,1908136428.9,37044
3-6-22,6115,6115,5610,6007.85,5677.6,5678.85,5766.59,8269,5610,2216480,12781522796.9,218708
6-6-22,5680,5735,5575,5678.85,5580,5581.35,5626.65,8269,5575,999722,5625086630.2,120050
7-6-22,5560,5576.3,5410,5581.35,5549,5555.2,5493.64,8269,5410,1203977,6614220471,106089
8-6-22,5581.95,5613.3,5500,5555.2,5527,5531.85,5560.52,8269,5410,605175,3365088870.25,66075
9-6-22,5525,5535,5445,5531.85,5475,5481.9,5481.26,8269,5410,375314,2057192835.2,42243
10-6-22,5455.9,5535.7,5409,5481.9,5502.3,5511.05,5490.94,8269,5409,493489,2709718623.7,54739
13-6-22,5431,5450,5337,5511.05,5348,5356.15,5378.69,8269,5337,441354,2373906970.85,59005
14-6-22,5350,5498,5324,5356.15,5430,5428.6,5425.15,8269,5324,610906,3314253884.2,60893
15-6-22,5440.9,5473.55,5401,5428.6,5435,5454.15,5441.02,8269,5324,286759,1560262256.85,37213
16-6-22,5480,5486,5277.05,5454.15,5277.4,5305.25,5349.2,8269,5277.05,732233,3916860159,66987
17-6-22,5300,5302.95,5157.05,5305.25,5182.45,5177.3,5218.82,8269,5157.05,819352,4276054579.15,61404
20-6-22,5179,5347.45,5161.8,5177.3,5330,5333.3,5273.79,8269,5157.05,506142,2669285791.65,45714
21-6-22,5355,5433,5262.05,5333.3,5419.5,5418.9,5388.67,8269,5157.05,292408,1575688910.15,32696
22-6-22,5400,5428,5320,5418.9,5395,5409.95,5369.92,8269,5157.05,214821,1153572463.9,24495
23-6-22,5428,5498.9,5358.05,5409.95,5414.95,5410.3,5436.85,8269,5157.05,296712,1613178308.9,38914
24-6-22,5450,5510,5435.2,5410.3,5470,5468.3,5473.55,8269,5157.05,265862,1455208615.6,31574
27-6-22,5510,5582,5488.05,5468.3,5560,5560.25,5540.46,8269,5157.05,226613,1255540170.1,25135
28-6-22,5560,5585,5480,5560.25,5572,5572.75,5548.04,8269,5157.05,278114,1542988707.65,36732
29-6-22,5542,5648,5521.1,5572.75,5615.1,5618.3,5606.83,8269,5157.05,490615,2750795706.4,51194
30-6-22,5629,5649,5535,5618.3,5548.8,5607.3,5608.08,8269,5157.05,572821,3212426117.45,74850
